,player,minutes_played,assists,shots,shots_on_target,yellow_cards,red_cards,team_touches,pressures,tackles,interceptions,blocks,xg,op_xg,xa,shot_creating_actions,goal_creating_actions,passes_completed,passes_attempted,progressive_distance_passed,carries,progressive_distance_carried,dribbles_completed,dribbles_attempted,defensive_pen_area_touches,D3_touches,M3_touches,A3_touches,attacking_pen_area_touches,shot_on_target_blocks,live_ball_touches,players_dribbles_past,carries_total_distance,pass_target,passes_received,miscontrols,possessions_lost,total_distance_passed,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,key_passes,final_third_entry_passes,penalty_area_entry_passes,penalty_area_entry_crosses,progressive_passes,tackles_attempted,tackles_won,D3_tackles,M3_tackles,A3_tackles,dribbler_tackles_completed,dribbler_tackles_attempted,pressure_regains,D3_pressures,M3_pressures,A3_pressures,shot_blocks,errors,live_ball_passes,dead_ball_passes,free_kicks_taken,through_balls,pressured_passes,switch_passes,crosses,corners,ground_passes,low_passes,hight_passes,left_foot_passes,right_foot_passes,head_passes,throw_ins_taken,other_pass_type,passes_to_offside,passes_out_of_play,passes_intercepted,passes_blocked,pass_blocks,fouls,fouls_drawn,offside,penalties_won,penalties_conceded,ball_recoveries,aerials_won,aerials_lost,team_result,date
39,Robin Olsen,90,0,0,0,0,0,35,0,0,0,0,0.0,0.0,0.0,0,0,24,32,0,12,0,0,0,29,35,0,0,0,0,25,0,69,20,20,0,0,761,5,5,11,11,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,3,0,5,1,0,0,16,1,15,1,28,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,D,06/02/2021
40,Richarlison,90,0,0,0,0,0,17,5,1,0,1,0.0,0.0,0.0,0,0,9,13,0,8,2,0,0,2,3,11,5,1,0,14,0,59,31,8,0,0,161,4,7,4,4,1,1,0,1,0,0,0,1,1,1,0,0,0,0,3,1,0,4,0,0,10,3,0,0,2,0,0,0,11,1,1,1,10,0,0,1,0,0,0,1,1,0,0,2,0,0,2,1,3,L,14/02/2021
41,James Rodr�guez,67,0,0,0,0,0,39,4,2,2,0,0.0,0.0,0.0,3,0,26,33,2,30,1,2,2,2,11,23,6,0,0,37,2,83,27,24,0,0,400,14,16,8,8,2,5,1,3,0,0,2,2,2,0,2,0,1,1,2,1,3,0,0,0,31,2,2,0,8,1,1,0,24,5,4,29,3,1,0,0,0,0,1,3,0,0,2,0,0,0,8,0,0,L,14/02/2021
42,Bernard,23,0,0,0,0,0,15,2,0,0,0,0.0,0.0,0.1,1,0,10,12,1,12,1,0,0,0,0,4,12,1,0,15,0,39,19,14,1,0,171,5,7,4,4,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,12,0,0,0,0,0,1,0,10,1,1,1,11,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,L,14/02/2021
43,Gylfi Sigur�sson,90,0,3,1,0,0,45,6,1,1,3,0.2,0.2,0.0,1,0,26,33,1,28,2,0,1,3,11,22,14,2,0,40,0,72,40,30,0,2,554,8,10,11,12,6,10,1,3,0,0,1,1,0,0,1,0,0,1,0,0,4,2,0,0,28,5,1,0,1,2,1,4,22,5,6,3,30,0,0,0,0,0,1,0,3,1,0,0,0,0,4,0,0,L,14/02/2021
44,Andr� Gomes,90,0,1,0,0,0,70,13,4,1,1,0.0,0.0,0.0,1,0,48,57,5,57,3,1,2,5,19,40,12,0,0,69,1,197,54,49,0,3,1006,15,18,26,26,6,11,0,8,0,0,5,4,3,2,2,0,1,1,7,7,3,3,0,0,56,1,0,0,3,1,1,0,42,6,9,20,34,1,1,0,1,0,3,0,1,1,3,0,0,0,12,1,2,L,14/02/2021
45,Abdoulaye Doucour�,90,0,0,0,0,0,40,6,4,0,1,0.0,0.0,0.0,1,0,28,30,0,29,2,0,0,3,17,17,7,0,0,40,0,95,38,30,2,1,556,10,11,12,12,5,6,0,0,0,0,0,4,2,3,0,1,1,2,1,3,3,0,1,0,29,1,1,0,5,1,0,0,24,4,2,2,25,1,0,1,0,0,0,0,0,1,2,0,0,0,4,1,0,L,14/02/2021
46,Tom Davies,55,0,0,0,0,0,37,6,0,1,1,0.0,0.0,0.0,0,0,23,30,3,26,2,0,0,4,16,18,3,0,0,37,0,87,34,30,0,1,516,3,4,16,20,4,6,0,1,0,0,3,0,0,0,0,0,0,3,0,2,3,1,1,0,30,0,0,0,2,0,0,0,21,2,7,4,24,1,0,0,0,1,3,0,0,1,3,0,0,0,2,1,1,L,14/02/2021
47,Joshua King,35,0,0,0,0,0,4,3,0,0,0,0.0,0.0,0.0,0,0,1,1,0,4,0,0,1,0,0,2,2,1,0,4,1,6,7,3,1,1,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,L,14/02/2021
48,Lucas Digne,90,0,0,0,0,0,81,8,0,0,4,0.0,0.0,0.0,0,0,50,74,2,49,3,0,0,1,13,45,25,0,0,67,0,127,55,50,2,0,943,17,22,30,38,2,7,0,3,0,0,2,0,0,0,0,0,0,0,2,1,5,2,0,0,59,15,6,0,10,0,3,1,40,20,14,57,2,5,8,0,1,2,3,5,4,1,4,0,0,0,10,2,1,L,14/02/2021
49,Mason Holgate,90,0,0,0,0,0,107,7,8,2,1,0.0,0.0,0.0,1,0,77,93,1,73,2,0,0,11,56,37,16,1,0,99,0,177,73,73,0,1,1832,15,18,44,52,18,23,1,1,2,2,1,8,4,6,1,1,2,2,2,4,2,1,0,0,84,9,2,0,5,5,6,0,68,12,13,15,65,3,7,0,0,2,3,1,1,0,1,0,0,0,10,3,0,L,14/02/2021
50,Ben Godfrey,90,0,1,0,0,0,96,3,1,1,1,0.0,0.0,0.0,0,0,82,89,5,76,3,0,0,12,63,43,3,1,0,95,0,448,80,80,0,0,1804,14,14,53,54,12,17,0,2,0,0,5,1,0,1,0,0,0,0,1,3,0,0,1,0,88,1,1,0,7,1,0,0,77,4,8,4,82,1,0,1,0,1,1,1,0,0,0,0,0,0,8,3,1,L,14/02/2021
